Reference, Value, Footprint, Datasheet, Vendor
"D6","WHITE","","",",ASMT-AY00-NTU00",""
"U4","ATTINY85","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",",ATtiny85-20SU",""
"U5","LM3405A","","",",LM3405AXMKE/NOPB",""
"C8","10nF","","",",C0805C103K5RACTU",""
"D4","D_Schottky_ALT","","",",DB2S31600L",""
"C7","10uF","","",",GRM21BC80J106KE19L",""
"D5","D_Schottky_ALT","","",",DB2S31600L",""
"C9","2.2uF","","",",CC0805ZRY5V7BB225",""
"C10","1uF","","",",C0805C105Z4VACTU",""
"R12","1R","","",",RC0805FR-071RL",""
"L2","10uH","","",",CBC2518T100M",""
"R11","10k","","",",RC0805JR-0710KL",""
"C6","100nF","","",",C0805C104K3RACTU",""
"BT1","LiPo","","",",440055-2",""
"U1","MCP73831-2","TO_SOT_Packages_SMD:SOT-23-5","",",MCP73831T-2ACI/OT",""
"R1","6k8","","",",RC0805FR-076K8L",""
"C3","10uF","","",",GRM21BC80J106KE19L",""
"C2","100nF","","",",C0805C104K3RACTU",""
"D2","GREEN","","",",LG R971-KN-1",""
"D1","ORANGE","","",",LO R976-PS-1",""
"R3","1k","","",",RC0805JR-071KL",""
"R2","470R","","",",RC0805JR-07470RL",""
"U3","MIC2288","","",",MIC2288YD5-TR",""
"L1","4.7uH","","",",NRH2410T4R7MN",""
"D3","D_Schottky_ALT","","",",MBRM140T3G",""
"R7","5k62","","",",RC0805FR-075K62L",""
"R8","1k87","","",",RC0805FR-071K87L",""
"C5","22uF","","",",0805ZD226KAT2A",""
"J1","µUSB B","","",",10118192-0001LF",""
"J2","AVRISP","","",",30306-6002HB",""
"R9","1k","","",",RC0805JR-071KL",""
"C1","10uF","","",",UWJ1C100MCL1GB",""
"SW2","SW_Push","","",",SKSLLAE010",""
"U2","MCP101-315D","","",",MCP101T-315I/TT",""
"C4","100nF","","",",C0805C104K3RACTU",""
"R6","100k","","",",RC0805JR-07100KL",""
"Q1","BC849","TO_SOT_Packages_SMD:SOT-23","",",BC849BLT1G",""
"R4","2k2","","",",RC0805JR-072K2L",""
"R5","2k2","","",",RC0805JR-072K2L",""
"R10","10k","","",",TC33X-2-103E",""
"SW1","SW_SPDT","","",",SSSS810701",""
